Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,11
17,286
18,758
19,1112
20,1157
21,1205
22,1251
23,1228
24,1265
25,1225
26,1308
27,1357
28,1294
29,1400
30,1489
31,1473
32,1600
33,1755
34,1782
35,1910
36,1964
37,2106
38,2042
39,2136
40,2367
41,2327
42,2340
43,2299
44,2389
45,2446
46,2441
47,2437
48,2456
49,2378
50,2364
51,2348
52,2202
53,2204
54,2274
55,2262
56,2254
57,2229
58,2259
59,2219
60,2286
61,2167
62,2157
63,2161
64,2142
65,2038
66,2062
67,2139
68,2168
69,2152
70,2194
71,2123
72,2150
73,2065
74,2001
75,2072
76,2068
77,2052
78,2043
79,2156
80,2129
81,2126
82,2183
83,2202
84,2222
85,2109
86,2030
87,2117
88,2021
89,1985
90,2025
91,2022
92,2110
93,2129
94,2102
95,2129
96,2126
97,2063
98,2045
99,2078
100,2062
101,2137
102,2040
103,2040
104,2013
105,2085
106,2023
107,1997
108,1995
109,1939
110,1981
111,1997
112,1984
113,2016
114,2074
115,2037
116,2001
117,2112
118,2060
119,2083
120,1911
121,1928
122,1974
123,1890
124,1857
125,1974
126,2033
127,2003
128,2025
129,2131
130,2155
131,2008
132,1994
133,1920
134,1892
135,1825
136,1846
137,1847
138,1931
139,1940
140,1907
141,1981
142,2038
143,1974
144,1917
145,1882
146,1943
147,1868
148,1926
149,1798
150,1825
151,1783
152,1840
153,1863
154,1897
155,1921
156,1977
157,2014
158,1921
159,1942
160,1895
161,1842
162,1739
163,1768
164,1776
165,1676
166,1679
167,1833
168,1789
169,1927
170,1981
171,1890
172,1850
173,1855
174,1791
175,1840
176,1745
177,1686
178,1716
179,1722
180,1702
181,1872
182,1734
183,1826
184,1774
185,1857
186,1845
187,1762
188,1856
189,1823
190,1731
191,1822
192,1777
193,1790
194,1700
195,1772
196,1803
197,1708
198,1833
199,1699
200,1762
201,1843
202,1775
203,1709
204,1669
205,1793
206,1770
207,1718
208,1667
209,1702
210,1748
211,1742
212,1631
213,1618
214,1695
215,1693
216,1653
217,1642
218,1689
219,1660
220,1675
221,1651
222,1716
223,1689
224,1620
225,1673
226,1702
227,1583
228,1600
229,1605
230,1644
231,1603
232,1620
233,1603
234,1697
235,1667
236,1607
237,1648
238,1617
239,1663
240,1593
241,1608
242,1543
243,1640
244,1586
245,1558
246,1605
247,1614
248,1607
249,1633
250,1605
251,1599
252,1515
253,1612
254,1535
255,1602
256,1630
257,1644
258,1563
259,1554
260,1507
261,1570
262,1612
263,1561
264,1560
265,1539
266,1497
267,1548
268,1585
269,1591
270,1500
271,1513
272,1578
273,1562
274,1553
275,1517
276,1528
277,1504
278,1528
279,1535
280,1572
281,1565
282,1564
283,1504
284,1490
285,1492
286,1536
287,1510
288,1494
289,1522
290,1565
291,1510
292,1511
293,1559
294,1510
295,1544
296,1535
297,1481
298,1457
299,1526
300,1494
301,1436
302,1404
303,1428
304,1419
305,1457
306,1446
307,1461
308,1439
309,1485
310,1485
311,1551
312,1456
313,1502
314,1446
315,1490
316,1435
317,1444
318,1477
319,1475
320,1382
321,1430
322,1427
323,1460
324,1480
325,1361
326,1479
327,1363
328,1411
329,1468
330,1449
331,1420
332,1340
333,1372
334,1427
335,1431
336,1419
337,1390
338,1421
339,1352
340,1427
341,1347
342,1411
343,1409
344,1363
345,1331
346,1387
347,1344
348,1340
349,1376
350,1421
351,1404
352,1417
353,1351
354,1424
355,1342
356,1353
357,1382
358,1382
359,1354
360,1394
361,1415
362,1374
363,1352
364,1395
365,1363
366,1348
367,1361
368,1337
369,1385
370,1359
371,1343
372,1385
373,1309
374,1306
375,1309
376,1272
377,1325
378,1260
379,1329
380,1250
381,1345
382,1338
383,1318
384,1245
385,1252
386,1303
387,1304
388,1286
389,1262
390,1276
391,1302
392,1285
393,1313
394,1309
395,1300
396,1367
397,1364
398,1341
399,1287
400,1269
401,1233
402,1328
403,1305
404,1269
405,1202
406,1284
407,1277
408,1214
409,1214
410,1283
411,1257
412,1209
413,1210
414,1295
415,1271
416,1205
417,1234
418,1217
419,1244
420,1220
421,1276
422,1236
423,1186
424,1170
425,1156
426,1250
427,1190
428,1247
