Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,2
16,1
17,1
18,4
19,4
20,3
21,1
22,3
23,1
24,4
25,3
26,6
27,8
28,5
29,6
30,4
31,5
32,2
33,3
34,3
35,5
36,2
37,8
38,7
39,6
40,5
41,5
42,7
43,2
44,5
45,6
46,4
47,2
48,6
49,5
50,8
51,7
52,4
53,4
54,4
55,7
56,5
57,3
58,6
59,5
60,8
61,0
62,0
63,3
64,6
65,4
66,9
67,2
68,3
69,5
70,2
71,3
72,2
73,7
74,7
75,4
76,4
77,6
78,6
79,5
80,3
81,4
82,5
83,4
84,9
85,6
86,2
87,2
88,4
89,6
90,2
91,2
92,1
93,3
94,8
95,1
96,2
97,4
98,1
99,6
100,5
101,3
102,3
103,4
104,5
105,6
106,7
107,5
108,2
109,6
110,10
111,6
112,4
113,6
114,8
115,3
116,5
117,6
118,5
119,4
120,2
121,2
122,6
123,8
124,6
125,4
126,1
127,1
128,2
129,4
130,4
131,4
132,2
133,4
134,4
135,7
136,5
137,7
138,4
139,9
140,3
141,7
142,3
143,6
144,4
145,4
146,4
147,6
148,7
149,3
150,4
151,5
152,2
153,7
154,5
155,6
156,3
157,6
158,3
159,5
160,8
161,4
162,6
163,3
164,2
165,1
166,4
167,1
168,6
169,3
170,6
171,4
172,6
173,3
174,4
175,7
176,4
177,2
178,6
179,3
180,4
181,2
182,7
183,6
184,2
185,7
186,7
187,5
188,2
189,0
190,3
191,4
192,7
193,2
194,4
195,2
196,7
197,8
198,6
199,3
200,7
201,3
202,5
203,4
204,3
205,5
206,9
207,1
208,3
209,6
210,8
211,4
212,3
213,6
214,5
215,4
216,5
217,3
218,6
219,4
220,6
221,3
222,2
223,3
224,9
225,9
226,6
227,1
228,4
229,6
230,8
231,4
232,6
233,7
234,5
235,4
236,6
237,4
238,5
239,6
240,7
241,3
242,5
243,3
244,3
245,7
246,5
247,8
248,4
249,6
250,2
251,6
252,3
253,3
254,5
255,2
256,5
257,5
258,0
259,7
260,9
261,1
262,6
263,5
264,5
265,4
266,7
267,8
268,6
269,2
270,9
271,6
272,5
273,6
274,7
275,6
276,4
277,5
278,1
279,5
280,5
281,5
282,6
283,4
284,3
285,10
286,9
287,8
288,3
289,4
290,2
291,5
292,6
293,4
294,1
295,9
296,6
297,3
298,6
299,6
300,8
301,3
302,8
303,4
304,6
305,7
306,9
307,7
308,8
309,5
310,7
311,3
312,8
313,3
314,5
315,5
316,7
317,7
318,3
319,4
320,8
321,5
322,5
323,5
324,6
325,0
326,6
327,8
328,1
329,1
330,4
331,3
332,5
333,5
334,7
335,8
336,6
337,2
338,7
339,2
340,4
341,6
342,9
343,2
344,6
345,7
346,8
347,2
348,4
349,6
350,13
351,11
352,5
353,5
354,6
355,6
356,7
357,4
358,8
359,7
360,4
361,3
362,8
363,7
364,3
365,2
366,4
367,7
368,3
369,8
370,5
371,5
372,5
373,10
374,4
375,6
376,9
377,11
378,5
379,3
380,4
381,5
382,6
383,5
384,8
385,3
386,4
387,4
388,7
389,5
390,8
391,4
392,5
393,5
394,6
395,8
396,5
397,2
398,5
399,5
400,8
401,4
402,6
403,4
404,6
405,9
406,9
407,6
408,5
409,7
410,7
411,7
412,5
413,13
414,2
415,4
416,7
417,7
418,6
419,5
420,11
421,7
422,5
423,7
424,8
425,9
426,5
427,8
428,5
429,5
430,5
431,3
432,3
433,9
434,4
435,5
436,5
437,7
438,8
439,6
440,3
441,6
442,8
443,10
444,6
445,9
446,6
447,3
448,9
449,6
450,8
451,7
452,9
453,13
454,10
455,7
456,9
457,7
458,6
459,5
460,6
461,12
462,9
463,4
464,7
465,7
466,10
467,3
468,12
469,8
470,7
471,9
472,9
473,9
474,9
475,13
476,6
477,9
478,12
479,8
480,9
481,10
482,8
483,9
484,12
485,8
486,10
487,7
488,11
489,5
490,12
491,11
492,4
493,11
494,8
495,15
496,7
497,9
498,8
499,9
500,7
501,10
502,8
503,7
504,5
505,5
506,7
507,7
508,14
509,9
510,2
511,13
512,7
513,6
514,9
515,7
516,5
517,11
518,10
519,11
520,4
521,12
522,9
523,3
524,14
525,10
526,11
527,6
528,8
529,9
530,5
531,11
