Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,2
18,4
19,0
20,1
21,0
22,3
23,2
24,2
25,0
26,3
27,5
28,3
29,3
30,3
31,3
32,0
33,3
34,3
35,2
36,1
37,4
38,4
39,2
40,2
41,1
42,3
43,2
44,2
45,2
46,1
47,6
48,2
49,2
50,0
51,1
52,3
53,4
54,2
55,2
56,3
57,7
58,4
59,2
60,2
61,2
62,3
63,2
64,2
65,2
66,4
67,3
68,0
69,2
70,1
71,0
72,2
73,2
74,4
75,5
76,2
77,0
78,2
79,3
80,2
81,4
82,2
83,1
84,2
85,2
86,2
87,7
88,2
89,2
90,1
91,0
92,2
93,2
94,1
95,2
96,4
97,2
98,3
99,3
100,1
101,2
102,3
103,0
104,3
105,3
106,0
107,2
108,5
109,1
110,4
111,2
112,4
113,1
114,0
115,4
116,1
117,6
118,2
119,3
120,2
121,1
122,5
123,1
124,1
125,1
126,1
127,4
128,3
129,2
130,3
131,1
132,2
133,1
134,3
135,3
136,2
137,1
138,5
139,0
140,4
141,1
142,2
143,3
144,2
145,1
146,1
147,3
148,1
149,4
150,3
151,5
152,2
153,4
154,4
155,2
156,2
157,1
158,5
159,1
160,2
161,4
162,0
163,2
164,4
165,3
166,1
167,4
168,4
169,3
170,2
171,2
172,5
173,4
174,1
175,0
176,2
177,3
178,4
179,2
180,2
181,2
182,2
183,4
184,3
185,3
186,2
187,3
188,5
189,3
190,7
191,5
192,2
193,2
194,1
195,4
196,3
197,3
198,1
199,3
200,3
201,5
202,1
203,3
204,3
205,3
206,2
207,2
208,1
209,5
210,3
211,1
212,1
213,5
214,1
215,3
216,4
217,2
218,0
219,4
220,3
221,3
222,1
223,2
224,2
225,1
226,2
227,4
228,2
229,2
230,1
231,5
232,3
233,5
234,3
235,2
236,4
237,0
238,1
239,3
240,1
241,5
242,2
243,1
244,2
245,1
246,4
247,1
248,2
249,8
250,2
251,4
252,3
253,1
254,2
255,3
256,2
257,0
258,0
259,3
260,4
261,2
262,1
263,3
264,2
265,4
266,5
267,3
268,0
269,6
270,3
271,5
272,3
273,2
274,5
275,3
276,2
277,4
278,4
279,0
280,6
281,2
282,5
283,7
284,7
285,5
286,2
287,4
288,2
289,1
290,3
291,4
292,1
293,4
294,2
295,0
296,3
297,2
298,1
299,4
300,5
301,3
302,1
303,1
304,3
305,1
306,5
307,4
308,3
309,5
310,6
311,5
312,2
313,3
314,2
315,7
316,0
317,4
318,2
319,1
320,1
321,3
322,2
323,1
324,6
325,2
326,5
327,4
328,3
329,4
330,7
331,4
332,6
333,2
334,2
335,5
336,2
337,1
338,0
339,4
340,5
341,3
342,3
343,2
344,2
345,4
346,1
347,5
348,0
349,5
350,5
351,3
352,1
353,1
354,0
355,2
356,2
357,2
358,3
359,3
360,2
361,3
362,5
363,3
364,2
365,1
366,3
367,2
368,7
369,7
370,2
371,7
372,2
373,6
374,4
375,3
376,4
377,4
378,3
379,2
380,3
381,1
382,6
383,2
384,5
385,2
386,2
387,5
388,2
389,6
390,3
391,6
392,4
393,2
394,4
395,5
396,10
397,1
398,6
399,1
400,2
401,6
402,1
403,4
404,2
405,2
406,2
407,2
408,6
409,3
410,7
411,4
412,3
413,4
414,6
415,3
416,2
417,3
418,2
419,1
420,7
421,8
422,1
423,5
424,4
425,3
426,3
427,3
428,4
429,4
430,4
431,2
432,4
433,7
434,3
435,6
436,2
437,2
438,2
439,5
440,9
441,6
442,0
443,3
444,4
445,1
446,2
447,3
448,3
449,6
450,6
451,1
452,5
453,7
454,3
455,6
456,5
457,4
458,7
459,11
460,3
461,4
462,10
463,7
464,6
465,5
466,6
467,6
468,6
469,6
470,6
471,4
472,5
473,5
474,4
475,4
476,6
477,3
478,6
479,5
480,8
481,4
482,5
483,4
484,5
485,3
486,4
487,6
488,7
489,3
490,10
491,6
492,8
493,5
494,6
495,5
496,4
497,8
498,7
499,7
500,5
501,3
502,4
503,2
504,5
505,7
506,10
507,3
508,6
509,4
510,5
511,3
512,4
513,6
514,6
515,3
516,6
517,4
518,6
519,4
520,9
521,8
522,8
523,6
524,10
525,4
526,7
527,2
528,5
529,9
530,4
531,5
