Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,2
15,2
16,2
17,4
18,1
19,1
20,3
21,2
22,2
23,1
24,0
25,1
26,1
27,3
28,3
29,4
30,0
31,3
32,0
33,3
34,3
35,1
36,3
37,1
38,2
39,6
40,0
41,6
42,0
43,6
44,2
45,4
46,4
47,1
48,1
49,3
50,3
51,3
52,2
53,5
54,6
55,0
56,1
57,4
58,1
59,4
60,0
61,1
62,4
63,5
64,2
65,5
66,4
67,1
68,1
69,1
70,2
71,3
72,0
73,3
74,2
75,5
76,3
77,1
78,2
79,1
80,5
81,2
82,1
83,3
84,2
85,0
86,2
87,4
88,1
89,2
90,3
91,0
92,3
93,1
94,2
95,0
96,2
97,2
98,0
99,2
100,2
101,3
102,1
103,3
104,2
105,1
106,2
107,0
108,1
109,1
110,1
111,1
112,1
113,3
114,4
115,2
116,0
117,6
118,4
119,1
120,3
121,1
122,1
123,3
124,1
125,2
126,3
127,1
128,3
129,3
130,1
131,2
132,1
133,0
134,1
135,5
136,1
137,3
138,3
139,1
140,0
141,1
142,3
143,1
144,1
145,0
146,1
147,3
148,0
149,1
150,2
151,1
152,5
153,4
154,2
155,5
156,2
157,2
158,2
159,0
160,1
161,2
162,4
163,2
164,3
165,1
166,2
167,3
168,2
169,0
170,2
171,0
172,1
173,1
174,3
175,2
176,1
177,1
178,1
179,1
180,2
181,0
182,2
183,6
184,2
185,3
186,3
187,1
188,0
189,5
190,2
191,9
192,2
193,1
194,2
195,2
196,0
197,2
198,3
199,4
200,0
201,2
202,1
203,1
204,1
205,6
206,1
207,2
208,2
209,1
210,5
211,2
212,3
213,3
214,3
215,1
216,1
217,3
218,1
219,2
220,5
221,2
222,1
223,3
224,7
225,4
226,1
227,6
228,3
229,2
230,1
231,5
232,2
233,1
234,1
235,1
236,4
237,6
238,1
239,2
240,2
241,1
242,1
243,3
244,2
245,0
246,3
247,2
248,2
249,1
250,3
251,1
252,2
253,1
254,2
255,3
256,6
257,3
258,1
259,3
260,0
261,1
262,0
263,2
264,6
265,3
266,2
267,2
268,4
269,3
270,2
271,2
272,4
273,2
274,3
275,1
276,3
277,2
278,2
279,2
280,2
281,4
282,2
283,1
284,2
285,2
286,2
287,1
288,2
289,3
290,4
291,6
292,6
293,1
294,0
295,2
296,1
297,5
298,5
299,2
300,4
301,0
302,3
303,1
304,4
305,5
306,2
307,1
308,4
309,1
310,3
311,2
312,4
313,1
314,2
315,3
316,4
317,5
318,0
319,2
320,2
321,1
322,1
323,5
324,3
325,2
326,4
327,1
328,2
329,1
330,4
331,2
332,2
333,3
334,2
335,1
336,4
337,1
338,3
339,1
340,8
341,3
342,3
343,1
344,5
345,3
346,0
347,3
348,6
349,4
350,2
351,4
352,4
353,2
354,2
355,4
356,3
357,3
358,2
359,3
360,1
361,2
362,5
363,7
364,1
365,5
366,1
367,1
368,1
369,0
370,5
371,3
372,2
373,3
374,1
375,3
376,2
377,4
378,2
379,2
380,4
381,1
382,0
383,3
384,3
385,3
386,4
387,3
388,4
389,5
390,2
391,3
392,0
393,3
394,2
395,6
396,2
397,7
398,4
399,2
400,3
401,0
402,3
403,3
404,1
405,4
406,2
407,2
408,10
409,5
410,5
411,2
412,1
413,2
414,5
415,0
416,0
417,3
418,3
419,5
420,3
421,2
422,3
423,5
424,2
425,0
426,5
427,3
428,3
429,4
430,3
431,7
432,2
433,5
434,5
435,6
436,1
437,1
438,1
439,2
440,5
441,3
442,4
443,3
444,3
445,5
446,2
447,6
448,6
449,4
450,4
451,4
452,4
453,4
454,2
455,4
456,4
457,5
458,2
459,6
460,4
461,1
462,6
463,2
464,2
465,2
466,6
467,5
468,1
469,2
470,6
471,3
472,6
473,4
474,4
475,3
476,2
477,6
478,5
479,5
480,7
481,5
482,2
483,5
484,4
485,6
486,5
487,8
488,7
489,1
490,2
491,4
492,6
493,5
494,2
495,5
496,4
497,5
498,2
499,5
500,4
501,7
502,3
503,5
504,1
505,2
506,5
507,3
508,4
509,3
510,4
511,6
512,4
513,4
514,6
515,6
516,5
517,1
518,3
519,7
520,7
521,12
522,3
523,3
524,7
525,4
526,8
527,6
528,5
529,4
530,4
531,6
