Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,1
16,2
17,1
18,3
19,0
20,3
21,3
22,0
23,5
24,2
25,4
26,3
27,1
28,1
29,0
30,5
31,3
32,8
33,4
34,1
35,1
36,3
37,1
38,2
39,2
40,0
41,5
42,3
43,5
44,2
45,6
46,0
47,0
48,8
49,5
50,3
51,1
52,3
53,3
54,2
55,2
56,1
57,6
58,4
59,6
60,2
61,2
62,3
63,5
64,1
65,2
66,4
67,5
68,3
69,2
70,2
71,2
72,2
73,0
74,4
75,1
76,1
77,1
78,0
79,4
80,1
81,2
82,3
83,4
84,2
85,1
86,4
87,2
88,1
89,3
90,2
91,2
92,1
93,0
94,2
95,2
96,1
97,2
98,1
99,1
100,4
101,1
102,3
103,1
104,1
105,3
106,2
107,3
108,2
109,6
110,2
111,3
112,1
113,2
114,1
115,2
116,2
117,3
118,1
119,1
120,1
121,2
122,1
123,0
124,0
125,2
126,1
127,8
128,0
129,3
130,1
131,2
132,5
133,4
134,6
135,3
136,1
137,3
138,1
139,2
140,3
141,1
142,3
143,3
144,4
145,3
146,3
147,2
148,3
149,0
150,2
151,2
152,5
153,2
154,4
155,0
156,0
157,2
158,1
159,1
160,2
161,4
162,3
163,2
164,1
165,2
166,1
167,1
168,2
169,0
170,2
171,3
172,1
173,2
174,0
175,2
176,3
177,0
178,3
179,2
180,1
181,3
182,3
183,0
184,6
185,4
186,4
187,0
188,1
189,8
190,3
191,0
192,2
193,0
194,1
195,0
196,1
197,2
198,4
199,2
200,1
201,4
202,2
203,1
204,5
205,2
206,2
207,4
208,0
209,6
210,2
211,1
212,4
213,1
214,3
215,2
216,2
217,0
218,2
219,5
220,1
221,3
222,1
223,4
224,1
225,3
226,1
227,1
228,2
229,2
230,2
231,1
232,2
233,3
234,1
235,2
236,2
237,3
238,1
239,3
240,4
241,4
242,0
243,3
244,2
245,3
246,4
247,5
248,2
249,4
250,2
251,2
252,1
253,4
254,2
255,3
256,5
257,1
258,2
259,1
260,1
261,2
262,2
263,2
264,1
265,3
266,5
267,0
268,3
269,3
270,2
271,2
272,2
273,0
274,1
275,3
276,3
277,3
278,5
279,0
280,5
281,3
282,6
283,5
284,4
285,5
286,5
287,3
288,3
289,3
290,4
291,2
292,2
293,0
294,1
295,2
296,4
297,4
298,4
299,2
300,4
301,3
302,4
303,3
304,4
305,8
306,1
307,4
308,0
309,1
310,3
311,2
312,7
313,0
314,5
315,3
316,1
317,4
318,1
319,5
320,4
321,6
322,5
323,1
324,1
325,5
326,3
327,4
328,3
329,4
330,2
331,3
332,3
333,4
334,7
335,4
336,4
337,5
338,8
339,4
340,3
341,2
342,5
343,3
344,2
345,4
346,2
347,4
348,6
349,3
350,1
351,0
352,1
353,5
354,4
355,3
356,8
357,5
358,5
359,2
360,3
361,6
362,3
363,2
364,4
365,4
366,3
367,4
368,5
369,4
370,3
371,1
372,2
373,4
374,4
375,0
376,3
377,5
378,3
379,1
380,7
381,3
382,0
383,2
384,2
385,0
386,5
387,2
388,2
389,2
390,3
391,2
392,1
393,3
394,3
395,4
396,1
397,3
398,3
399,2
400,4
401,3
402,5
403,4
404,3
405,4
406,4
407,2
408,4
409,4
410,3
411,4
412,3
413,9
414,4
415,3
416,3
417,2
418,6
419,5
420,4
421,6
422,5
423,1
424,2
425,4
426,2
427,3
428,1
429,3
430,4
431,4
432,5
433,1
434,6
435,5
436,1
437,6
438,1
439,4
440,7
441,5
442,4
443,4
444,4
445,5
446,2
447,5
448,6
449,6
450,6
451,3
452,2
453,3
454,1
455,3
456,4
457,6
458,2
459,5
460,3
461,1
462,2
463,3
464,5
465,3
466,5
467,3
468,3
469,10
470,6
471,4
472,4
473,4
474,5
475,4
476,4
477,3
478,7
479,4
480,3
481,2
482,8
483,5
484,4
485,3
486,3
487,8
488,2
489,6
490,6
491,1
492,2
493,5
494,2
495,5
496,5
497,4
498,7
499,5
500,2
501,4
502,2
503,5
504,4
505,7
506,3
507,4
508,3
509,8
510,7
511,6
512,6
513,2
514,6
515,9
516,7
517,7
518,6
519,7
520,5
521,7
522,5
523,7
524,7
525,7
526,8
527,7
528,3
529,6
530,8
531,6
