Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,7
9,7
10,20
11,42
12,42
13,50
14,73
15,59
16,71
17,75
18,85
19,106
20,105
21,109
22,126
23,122
24,140
25,127
26,141
27,167
28,161
29,183
30,183
31,193
32,211
33,193
34,220
35,188
36,197
37,212
38,230
39,209
40,207
41,224
42,209
43,209
44,215
45,208
46,216
47,217
48,201
49,221
50,194
51,231
52,226
53,204
54,241
55,229
56,210
57,244
58,218
59,216
60,245
61,228
62,212
63,250
64,257
65,235
66,258
67,225
68,248
69,263
70,262
71,281
72,242
73,249
74,283
75,263
76,250
77,267
78,291
79,251
80,265
81,253
82,260
83,244
84,277
85,256
86,221
87,251
88,264
89,249
90,243
91,219
92,244
93,234
94,253
95,227
96,242
97,229
98,247
99,238
100,200
101,226
102,249
103,238
104,224
105,218
106,225
107,239
108,216
109,217
110,198
111,223
112,238
113,220
114,184
115,210
116,197
117,235
118,230
119,219
120,244
121,191
122,213
123,224
124,207
125,221
126,205
127,217
128,224
129,223
130,215
131,196
132,236
133,208
134,216
135,217
136,228
137,228
138,230
139,227
140,230
141,196
142,227
143,229
144,231
145,249
146,219
147,232
148,237
149,228
150,227
151,243
152,235
153,234
154,201
155,234
156,260
157,247
158,231
159,253
160,226
161,244
162,217
163,255
164,255
165,238
166,263
167,241
168,237
169,237
170,263
171,295
172,237
173,253
174,269
175,251
176,210
177,264
178,240
179,269
180,273
181,283
182,279
183,261
184,282
185,278
186,249
187,270
188,259
189,264
190,256
191,276
192,272
193,277
194,249
195,265
196,264
197,278
198,301
199,277
200,277
201,270
202,310
203,305
204,305
205,265
206,279
207,297
208,287
209,299
210,270
211,279
212,270
213,267
214,293
215,297
216,316
217,336
218,292
219,337
220,279
221,298
222,313
223,284
224,328
225,325
226,338
227,322
228,333
229,328
230,365
231,356
232,343
233,349
234,342
235,364
236,364
237,352
238,393
239,355
240,399
241,375
242,375
243,375
244,400
245,368
246,386
247,412
248,418
249,398
250,413
251,420
252,421
253,417
254,394
255,435
256,439
257,423
258,413
259,424
260,410
261,450
262,439
263,419
264,490
265,448
266,464
267,471
268,448
269,484
270,477
271,483
272,481
273,473
274,500
275,470
276,469
277,483
278,528
279,551
280,497
281,495
282,547
283,565
284,522
285,517
286,541
287,523
288,573
289,560
290,610
291,586
292,581
293,535
294,547
295,607
296,613
297,586
298,616
299,619
300,601
301,614
302,646
303,662
304,645
305,632
306,657
307,670
308,667
309,685
310,707
311,718
312,742
313,744
314,724
315,741
316,772
317,756
318,831
319,819
320,739
321,860
322,828
323,836
324,905
325,894
326,917
327,929
328,922
329,992
330,914
331,946
332,965
333,980
334,984
335,1093
336,1050
337,1089
338,1036
339,1087
340,1142
341,1093
342,1108
343,1108
344,1127
345,1174
346,1174
347,1195
348,1235
349,1169
350,1247
351,1195
352,1226
353,1173
354,1256
355,1207
356,1236
357,1222
358,1233
359,1167
360,1211
361,1227
362,1223
363,1215
364,1223
365,1162
366,1157
367,1128
368,1165
369,1101
370,1086
371,1109
372,1098
373,1063
374,1030
375,1026
376,1016
377,1006
378,954
379,990
380,955
381,1031
382,903
383,921
384,874
385,835
386,803
387,835
388,798
389,779
390,753
391,722
392,719
393,775
394,723
395,739
396,695
397,680
398,683
399,664
400,677
401,629
402,607
403,611
404,613
405,589
406,592
407,572
408,568
409,602
410,609
411,555
412,526
413,563
414,523
415,535
416,527
417,506
418,492
419,487
420,476
421,479
422,467
423,475
424,416
425,442
426,435
427,436
428,394
429,403
430,387
431,367
432,385
433,333
434,384
435,381
436,359
437,363
438,364
439,352
440,335
441,328
442,338
443,319
444,359
445,341
446,348
447,315
448,321
449,330
450,315
451,271
452,314
453,292
454,263
455,316
456,285
457,325
458,288
459,276
460,278
461,296
462,285
463,262
464,280
465,269
466,273
467,256
468,249
469,280
470,284
471,244
472,287
473,244
474,267
475,260
476,245
477,241
478,227
479,255
480,267
481,257
482,252
483,264
484,252
485,243
486,252
487,222
488,252
489,229
490,217
491,249
492,234
493,235
494,242
495,222
496,240
497,239
498,228
499,237
500,261
501,246
502,262
503,252
504,257
505,243
506,245
507,244
508,254
509,247
510,231
511,236
512,230
513,253
514,234
515,228
516,244
517,223
518,224
519,249
520,254
