Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,3
331,10
332,8
333,5
334,4
335,4
336,5
337,6
338,7
339,4
340,3
341,5
342,3
343,4
344,3
345,4
346,2
347,4
348,5
349,2
350,6
351,4
352,5
353,6
354,6
355,3
356,5
357,8
358,5
359,6
360,5
361,4
362,6
363,4
364,3
365,2
366,4
367,7
368,3
369,6
370,5
371,7
372,3
373,6
374,9
375,2
376,7
377,6
378,0
379,1
380,4
381,5
382,5
383,7
384,9
385,4
386,6
387,3
388,4
389,5
390,5
391,3
392,6
393,5
394,6
395,4
396,4
397,5
398,3
399,3
400,5
401,4
402,3
403,6
404,7
405,9
406,4
407,3
408,1
409,4
410,6
411,6
412,5
413,4
414,2
415,4
416,4
417,4
418,3
419,9
420,7
421,3
422,7
423,1
424,4
425,4
426,2
427,4
428,5
429,2
430,1
431,2
432,2
433,4
434,8
435,4
436,4
437,6
438,4
439,1
440,5
441,3
442,4
443,11
444,2
445,1
446,2
447,4
448,3
449,4
450,6
451,1
452,9
453,5
454,1
455,0
456,8
457,3
458,5
459,5
460,9
461,3
462,5
463,4
464,5
465,6
466,4
467,8
468,6
469,6
470,5
471,2
472,4
473,5
474,4
475,4
476,8
477,9
478,2
479,3
480,6
481,4
482,2
483,1
484,5
485,1
486,5
487,4
488,3
489,7
490,5
491,8
492,3
493,3
494,5
495,6
496,7
497,7
498,4
499,7
500,2
501,7
502,7
503,5
504,3
505,5
506,5
507,5
508,6
509,1
510,2
511,3
512,3
513,3
514,4
515,6
516,6
517,3
518,6
519,2
520,5
521,3
522,1
523,1
524,4
525,4
526,4
527,6
528,7
529,4
530,2
531,1
