Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,7
329,91
330,394
331,768
332,773
333,801
334,772
335,720
336,767
337,716
338,721
339,734
340,714
341,673
342,704
343,703
344,687
345,654
346,669
347,604
348,688
349,627
350,656
351,630
352,632
353,636
354,638
355,650
356,653
357,617
358,641
359,608
360,646
361,630
362,588
363,649
364,618
365,666
366,698
367,674
368,673
369,673
370,680
371,677
372,661
373,658
374,631
375,677
376,673
377,655
378,655
379,699
380,639
381,669
382,695
383,643
384,656
385,667
386,674
387,652
388,672
389,693
390,683
391,714
392,657
393,648
394,690
395,667
396,637
397,710
398,667
399,635
400,672
401,679
402,646
403,681
404,668
405,727
406,731
407,701
408,737
409,720
410,765
411,755
412,729
413,729
414,796
415,776
416,803
417,766
418,855
419,821
420,848
421,887
422,843
423,931
424,883
425,843
426,900
427,947
428,958
429,958
430,932
431,950
432,889
433,958
434,973
435,1002
436,1042
437,1017
438,955
439,999
440,1038
441,1038
442,981
443,1028
444,1004
445,1023
446,1050
447,968
448,992
449,1029
450,1017
451,992
452,972
453,989
454,1044
455,1005
456,961
457,966
458,934
459,1034
460,988
461,945
462,1031
463,988
464,973
465,983
466,968
467,958
468,1032
469,1006
470,988
471,968
472,1007
473,916
474,972
475,1004
476,989
477,940
478,964
479,899
480,962
481,886
482,930
483,925
484,939
485,900
486,889
487,893
488,869
489,846
490,874
491,847
492,855
493,849
494,798
495,877
496,829
497,847
498,792
499,834
500,872
501,889
502,819
503,830
504,860
505,865
506,857
507,842
508,855
509,791
510,850
511,853
512,845
513,861
514,825
515,899
516,852
517,834
518,820
519,818
520,845
521,819
522,846
523,825
524,865
525,859
526,881
