Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,3
329,8
330,24
331,28
332,24
333,30
334,28
335,30
336,40
337,35
338,33
339,28
340,30
341,31
342,28
343,37
344,29
345,28
346,30
347,39
348,35
349,35
350,23
351,26
352,28
353,26
354,28
355,37
356,36
357,29
358,36
359,29
360,29
361,23
362,33
363,39
364,35
365,36
366,21
367,37
368,29
369,21
370,23
371,30
372,32
373,28
374,29
375,26
376,36
377,24
378,30
379,31
380,26
381,37
382,19
383,27
384,33
385,27
386,37
387,26
388,29
389,24
390,26
391,30
392,30
393,32
394,25
395,36
396,21
397,25
398,30
399,35
400,26
401,29
402,26
403,30
404,32
405,33
406,30
407,26
408,21
409,43
410,26
411,27
412,24
413,31
414,25
415,26
416,21
417,31
418,36
419,27
420,30
421,31
422,23
423,28
424,27
425,32
426,32
427,31
428,24
429,18
430,27
431,25
432,26
433,36
434,29
435,21
436,23
437,28
438,32
439,23
440,28
441,16
442,23
443,29
444,26
445,21
446,30
447,27
448,20
449,24
450,34
451,26
452,25
453,29
454,25
455,28
456,21
457,16
458,19
459,22
460,27
461,20
462,29
463,33
464,26
465,31
466,24
467,24
468,28
469,27
470,23
471,29
472,27
473,18
474,31
475,25
476,25
477,22
478,38
479,29
480,29
481,16
482,26
483,28
484,23
485,21
486,20
487,25
488,26
489,31
490,28
491,24
492,22
493,35
494,29
495,34
496,23
497,18
498,25
499,31
500,20
501,24
502,18
503,24
504,18
505,29
506,26
507,19
508,24
509,23
510,19
511,25
512,33
513,29
514,18
515,17
516,23
517,23
518,18
519,25
520,24
521,20
522,25
523,32
524,23
525,25
526,24
527,25
528,16
529,25
530,30
531,24
