Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,70
18,283
19,430
20,487
21,491
22,533
23,541
24,561
25,500
26,556
27,555
28,576
29,566
30,643
31,655
32,703
33,722
34,781
35,769
36,912
37,869
38,917
39,956
40,907
41,877
42,953
43,953
44,966
45,990
46,973
47,1008
48,989
49,1057
50,991
51,983
52,971
53,924
54,918
55,921
56,968
57,929
58,940
59,927
60,916
61,926
62,939
63,885
64,907
65,897
66,860
67,878
68,909
69,953
70,892
71,932
72,879
73,926
74,933
75,909
76,879
77,849
78,859
79,913
80,865
81,874
82,901
83,904
84,979
85,897
86,867
87,883
88,884
89,910
90,827
91,849
92,823
93,845
94,885
95,857
96,867
97,864
98,908
99,929
100,868
101,805
102,884
103,816
104,893
105,826
106,822
107,886
108,873
109,864
110,843
111,854
112,808
113,810
114,825
115,850
116,887
117,916
118,842
119,853
120,859
121,847
122,802
123,799
124,785
125,838
126,831
127,839
128,821
129,848
130,885
131,848
132,821
133,832
134,774
135,753
136,771
137,746
138,821
139,828
140,796
141,840
142,814
143,865
144,830
145,837
146,799
147,792
148,753
149,777
150,798
151,745
152,799
153,732
154,813
155,816
156,851
157,816
158,830
159,845
160,771
161,736
162,765
163,729
164,690
165,734
166,754
167,756
168,777
169,802
170,837
171,799
172,837
173,808
174,744
175,709
176,763
177,752
178,716
179,732
180,712
181,740
182,759
183,750
184,724
185,731
186,750
187,748
188,807
189,771
190,794
191,745
192,755
193,710
194,749
195,707
196,739
197,759
198,732
199,775
200,783
201,765
202,729
203,740
204,714
205,720
206,715
207,700
208,692
209,797
210,698
211,717
212,683
213,710
214,724
215,737
216,675
217,686
218,701
219,708
220,687
221,716
222,730
223,708
224,763
225,734
226,701
227,685
228,700
229,676
230,694
231,699
232,701
233,646
234,675
235,686
236,687
237,708
238,689
239,701
240,701
241,700
242,715
243,675
244,672
245,662
246,705
247,734
248,721
249,675
250,649
251,674
252,721
253,678
254,698
255,664
256,653
257,678
258,660
259,674
260,672
261,623
262,657
263,675
264,721
265,688
266,649
267,645
268,632
269,639
270,692
271,665
272,654
273,602
274,655
275,637
276,665
277,634
278,662
279,605
280,660
281,693
282,678
283,637
284,665
285,646
286,649
287,611
288,612
289,649
290,684
291,626
292,629
293,615
294,660
295,680
296,614
297,638
298,655
299,595
300,636
301,645
302,639
303,594
304,570
305,604
306,605
307,640
308,638
309,628
310,631
311,677
312,592
313,586
314,597
315,572
316,587
317,623
318,531
319,625
320,620
321,594
322,623
323,596
324,582
325,634
326,651
327,593
328,579
329,617
330,589
331,584
332,610
333,546
334,593
335,635
336,600
337,612
338,567
339,563
340,599
341,563
342,558
343,560
344,603
345,548
346,598
347,562
348,598
349,585
350,573
351,595
352,573
353,560
354,569
355,584
356,531
357,558
358,579
359,588
360,601
361,567
362,591
363,569
364,583
365,564
366,570
367,561
368,559
369,575
370,521
371,551
372,564
373,565
374,544
375,552
376,604
377,578
378,552
379,529
380,553
381,481
382,516
383,523
384,561
385,547
386,584
387,579
388,514
389,588
390,526
391,519
392,562
393,524
394,535
395,535
396,572
397,538
398,521
399,529
400,527
401,515
402,600
403,560
404,527
405,536
406,536
407,484
408,508
409,549
410,543
411,565
412,553
413,511
414,527
415,522
416,554
417,492
418,555
419,538
420,494
421,475
422,519
423,515
424,533
425,537
426,488
427,516
428,513
429,511
430,500
431,506
432,541
433,486
434,530
435,461
436,574
437,507
438,502
439,483
440,497
441,484
442,496
443,528
444,488
445,524
446,491
447,470
448,482
449,487
450,510
451,510
452,480
453,492
454,492
455,468
456,471
457,491
458,509
459,461
460,441
461,469
462,448
463,504
464,480
465,510
466,493
467,500
468,454
469,448
470,509
471,478
472,447
473,463
474,467
475,475
476,468
477,523
478,456
479,466
480,490
481,479
482,477
483,467
484,456
485,500
486,446
487,488
488,518
489,429
490,468
491,421
492,480
493,440
494,460
495,484
496,462
497,502
498,447
499,436
500,424
501,502
502,458
503,472
504,429
505,448
506,420
507,475
508,457
509,439
510,400
511,429
512,457
513,450
514,430
515,425
516,422
517,433
518,432
519,496
520,475
521,434
522,435
523,404
524,458
525,460
526,467
527,436
528,442
529,433
530,430
